Campaign_id,Campaign_name,Channel,Budget,Start_date,End_date
1,"Diwali Dhamaka Sale",Instagram,941796.44,2022-09-30,2022-10-10
2,"Year-End Clearance",Facebook,166538.04,2023-05-02,2023-05-31
3,"New Year New Car",Instagram,1421278.22,2024-06-26,2024-08-06
4,"Monsoon Madness",TV,1118326.87,2022-04-26,2022-05-22
5,"Republic Day Drive",Facebook,767266.98,2023-09-02,2023-10-03
6,"Summer Deals",Instagram,857089.15,2024-09-20,2024-10-03
7,"EV Revolution Campaign",Google,54153.19,2022-03-11,2022-03-27
8,"SUV Season",Google,557898.30,2022-10-06,2022-11-09
9,"Budget Hatchback Push",Google,1364576.23,2022-12-11,2022-12-23
10,"Luxury Preview Event",TV,832374.05,2023-01-18,2023-02-19
11,"Independence Day Offer",Google,1278841.55,2022-12-22,2023-02-04
12,"Festive Finance",Google,118163.08,2022-02-25,2022-03-10
13,"Test Drive Weekend",Instagram,845757.78,2024-06-04,2024-06-22
14,"Referral Rewards",Google,944933.62,2024-09-24,2024-11-08
15,"City Launch Blitz",Facebook,735264.95,2024-06-03,2024-07-01
